k,current_theta1,current_thetadot1,current_theta2,current_thetadot2,force1,force2,reward
132,-0.23144144847641923,0.03292108940661065,-0.3935889409805963,1.277145769071932,-1.5,0.0,-0.29008665421439306
133,-0.24877921236180245,-0.34675527770766434,-0.2966374908195525,1.9390290032208763,-1.5,0.0,-0.34388853236057215
134,-0.28481157682671016,-0.7206472892981537,-0.16695315956151155,2.5936866251608186,-1.5,0.0,-0.47131813303763326
135,-0.3390317584777096,-1.0844036330199884,-0.005321553060238848,3.2326321300254537,-1.5,0.0,-0.6962629385524536
136,-0.4103509328549893,-1.4263834875455939,0.18585824180684915,3.8235958973417596,1.5,-1.0,-1.0356539461280665
137,-0.4335463951967144,-0.4639092468345023,0.251871524547408,1.3202656548111769,1.5,-1.0,-0.34931740109452825
138,-0.41230900827359385,0.42474773846241054,0.20240433404355634,-0.9893438100770338,1.5,-1.0,-0.26892682353650377
139,-0.3483816889315862,1.2785463868401523,0.0418109817314776,-3.211867046241575,0.0,-1.0,-0.7206564986779038
140,-0.2627501305150285,1.712631168331155,-0.19032922830973178,-4.642804200824187,-1.5,1.0,-1.3296996645311454
141,-0.22649774229385583,0.7250477644234533,-0.29410197978773667,-2.075455029560098,1.5,0.0,-0.379457593800368
142,-0.1731711976999581,1.0665308918779548,-0.42718451018110565,-2.6616506078673794,1.5,1.0,-0.6235684745360479
143,-0.12673030377434769,0.9288178785122079,-0.5119205056869273,-1.6947199101164325,-1.5,1.0,-0.46486208529694617
144,-0.12246239175320622,0.08535824042282936,-0.4877446403315973,0.48351730710659924,-1.5,1.0,-0.2649456223400999
145,-0.1585852209156669,-0.7224565832492134,-0.3597120943841423,2.5606509189491002,-1.5,0.0,-0.5084858953088469
146,-0.2130049251870414,-1.0883940854274896,-0.20008377176090653,3.1925664524647153,-1.5,0.0,-0.6542587258058417
147,-0.2852351332881212,-1.4446041620215961,-0.009375958666125506,3.8141562618956204,1.5,-1.0,-0.9131804486171857
148,-0.30986813818993286,-0.49266009803623334,0.05728579351863079,1.333235043695126,1.5,-1.0,-0.2003114079010453
149,-0.2890805517992145,0.4157517278143673,0.005579826791029377,-1.0341193345520283,1.5,-1.0,-0.1457113147593043
150,-0.22497037248782717,1.2822035862277463,-0.1590627479548699,-3.2928514949179855,0.0,0.0,-0.7002584764902113
151,-0.16451596572771574,1.2090881352022287,-0.314218573465051,-3.103116510203622,1.5,1.0,-0.6803601246189901
152,-0.11196399003497384,1.0510395138548376,-0.4186927423476766,-2.0894833776525124,1.5,1.0,-0.46137078981768787
153,-0.06556764490975103,0.9279269025044562,-0.47652774594343006,-1.1567000719150684,-1.5,1.0,-0.34132797835092943
154,-0.06140948251922011,0.08316324781061835,-0.4251497404787363,1.0275601092938742,-1.5,0.0,-0.2376632215723377
155,-0.07616179227297046,-0.29504619507500696,-0.34083983992411704,1.6861980110923862,-1.5,0.0,-0.2684882145737367
156,-0.10956539805428028,-0.6680721156261963,-0.22394048997927338,2.337986998896873,-1.5,0.0,-0.35777909743735337
157,-0.16126607737223148,-1.0340135863590239,-0.07486764455672196,2.9814569084510283,-1.5,0.0,-0.5295253815987688
158,-0.23048749692926274,-1.3844283911406252,0.10481806098845048,3.5937141109034485,1.5,-1.0,-0.8056824662052346
159,-0.25186489082241176,-0.4275478778629809,0.15989997047595556,1.1016381897501013,1.5,-1.0,-0.15882411823624779
160,-0.22837904187570096,0.4697169789342157,0.09819385922354883,-1.2341222250481345,1.5,-1.0,-0.14898360609011954
161,-0.1618357325586695,1.3308661863406286,-0.07569181470918905,-3.477713478654757,0.0,0.0,-0.7252048474248626
162,-0.09878224422800565,1.261069766613277,-0.24051400433792525,-3.296443792574724,0.0,0.0,-0.6904468497509098
163,-0.03968623590978768,1.1819201663643593,-0.3950931096361183,-3.0915821059638615,1.5,1.0,-0.70541432248136
164,0.011692287867236084,1.0275704755404753,-0.49933507031299196,-2.084839213537473,-1.5,1.0,-0.5195950034653524
165,0.020195299697899398,0.1700602366132663,-0.4927797985716456,0.13110543482692671,-1.5,1.0,-0.2455452359661055
166,-0.011778763339720853,-0.639481260752405,-0.3820414771587707,2.214766428257498,-1.5,0.0,-0.41180076026496665
167,-0.061983442852153126,-1.0040935902486454,-0.23978857376439003,2.8450580678876127,-1.5,0.0,-0.516468474677307
168,-0.13011095191771443,-1.3625501813112262,-0.0661421738379756,3.4729279985282884,-1.5,0.0,-0.7171922409465947
169,-0.21521828991980385,-1.7021467600417883,0.1368883145192277,4.060609767144066,1.5,-1.0,-1.0343500866552469
170,-0.25172681360501914,-0.730170473704306,0.2133530826719641,1.529295363054728,1.5,-1.0,-0.2524805879798791
171,-0.2431031987843946,0.17247229641249073,0.17245248444023026,-0.8180119646346768,1.5,-1.0,-0.12378353801457684
