k,l,t,current_theta1,current_thetadot1,current_theta2,current_thetadot2,force1,force2,next_theta1,next_thetadot1,next_theta2,next_thetadot2,reward
641,7,41,2.0516707136596226,4.110649887164204,1.1634882665577106,-3.109411775845392,1.5,0.0,2.2729457811614715,4.425501350036974,0.9559276278876645,-4.151212773400923,-6.891351868036505
642,7,42,2.2729457811614715,4.425501350036974,0.9559276278876645,-4.151212773400923,-1.5,1.0,2.4614275237944954,3.769634852660476,0.7992743624918046,-3.133065307917197,-7.920961638319973
643,7,43,2.4614275237944954,3.769634852660476,0.7992743624918046,-3.133065307917197,0.0,1.0,2.63162920630558,3.4040336502216872,0.6854679310922864,-2.276128627990363,-7.898777218733125
644,7,44,2.63162920630558,3.4040336502216872,0.6854679310922864,-2.276128627990363,1.5,1.0,2.8000932642701697,3.369281159291795,0.593749166289498,-1.8343752960557684,-8.23374889518642
645,7,45,2.8000932642701697,3.369281159291795,0.593749166289498,-1.8343752960557684,1.5,-1.0,3.0078703065436017,4.155540845468643,0.38925239253978566,-4.089935474994247,-8.928909773937566
646,7,46,3.0078703065436017,4.155540845468643,0.38925239253978566,-4.089935474994247,1.5,1.0,-3.073077683147998,4.044746349759734,0.21674842534933142,-3.450079343809085,-10.89860580148338
647,7,47,-3.073077683147998,4.044746349759734,0.21674842534933142,-3.450079343809085,1.5,-1.0,-2.8307726280524608,4.84610110191074,-0.0677533909883013,-5.690036326752654,-10.903937352177323
648,7,48,-2.8307726280524608,4.84610110191074,-0.0677533909883013,-5.690036326752654,1.5,-1.0,-2.5533573308178203,5.548305944692811,-0.3819126563472806,-6.283185307179586,-10.810924658206716
649,7,49,-2.5533573308178203,5.548305944692811,-0.3819126563472806,-6.283185307179586,1.5,0.0,-2.272938455368606,5.608377508984292,-0.6727894526289679,-5.817535925633745,-10.17859675893289
650,7,50,-2.272938455368606,5.608377508984292,-0.6727894526289679,-5.817535925633745,-1.5,1.0,-2.0477084579676315,4.504599948019488,-0.7926179695354635,-2.3965703381299113,-8.883775995928218
651,7,51,-2.0477084579676315,4.504599948019488,-0.7926179695354635,-2.3965703381299113,1.5,1.0,-1.8373643870332872,4.206881418686885,-0.8228827700390403,-0.6052960100715368,-6.12310167832776
652,7,52,-1.8373643870332872,4.206881418686885,-0.8228827700390403,-0.6052960100715368,0.0,-1.0,-1.6254869680395334,4.237548379875077,-0.8608217635445189,-0.7587798701095714,-4.956255670500407
653,7,53,-1.6254869680395334,4.237548379875077,-0.8608217635445189,-0.7587798701095714,-1.5,1.0,-1.4644592868184445,3.2205536244217776,-0.7567365777238163,2.081703716414051,-4.30985015001152
654,7,54,-1.4644592868184445,3.2205536244217776,-0.7567365777238163,2.081703716414051,0.0,1.0,-1.3421140812168828,2.4469041120312323,-0.5428319081053525,4.278093392369274,-3.452564051349357
655,7,55,-1.3421140812168828,2.4469041120312323,-0.5428319081053525,4.278093392369274,0.0,1.0,-1.261666005819094,1.608961507955774,-0.22867264274637322,6.283185307179586,-3.3104078278233855
656,7,56,-1.261666005819094,1.608961507955774,-0.22867264274637322,6.283185307179586,0.0,-1.0,-1.168240632049137,1.8685074753991429,0.02545342388237748,5.082521332575014,-3.747451024702154
657,7,57,-1.168240632049137,1.8685074753991429,0.02545342388237748,5.082521332575014,1.5,1.0,-1.0778590146914626,1.807632347153487,0.314975169732489,5.79043491700223,-2.8316012152430314
658,7,58,-1.0778590146914626,1.807632347153487,0.314975169732489,5.79043491700223,-1.5,1.0,-1.0137970889551486,1.2812385147262786,0.6291344350914683,6.283185307179586,-3.1008229746253733
659,7,59,-1.0137970889551486,1.2812385147262786,0.6291344350914683,6.283185307179586,-1.5,0.0,-0.9400438169095494,1.4750654409119854,0.9206662561126457,5.830636420423548,-3.4795941617905664
660,7,60,-0.9400438169095494,1.4750654409119854,0.9206662561126457,5.830636420423548,1.5,0.0,-0.8179051319518011,2.4427736991549653,1.131238973092195,4.211454339590986,-3.53991568896147
661,7,61,-0.8179051319518011,2.4427736991549653,1.131238973092195,4.211454339590986,1.5,0.0,-0.6518839201339035,3.320424236357952,1.2676668135066482,2.728556808289063,-3.133844969102926
662,7,62,-0.6518839201339035,3.320424236357952,1.2676668135066482,2.728556808289063,1.5,-1.0,-0.4339658502400666,4.358361397876738,1.2813777866682854,0.2742194632327428,-2.955443763667939
663,7,63,-0.4339658502400666,4.358361397876738,1.2813777866682854,0.2742194632327428,1.5,-1.0,-0.17428424553181288,5.193632094165075,1.1708001396305963,-2.211552940753784,-2.7837809107673843
664,7,64,-0.17428424553181288,5.193632094165075,1.1708001396305963,-2.211552940753784,1.5,0.0,0.10743817059995919,5.634448322635441,0.9793301280343433,-3.829400231925059,-2.9943870021645274
665,7,65,0.10743817059995919,5.634448322635441,0.9793301280343433,-3.829400231925059,-1.5,0.0,0.37717741696477314,5.3947849272962785,0.7518760480345523,-4.549081599995819,-3.291196162013481
666,7,66,0.37717741696477314,5.3947849272962785,0.7518760480345523,-4.549081599995819,-1.5,0.0,0.6323136082459289,5.102723825623115,0.5087528945204258,-4.86246307028253,-3.1974727862364567
667,7,67,0.6323136082459289,5.102723825623115,0.5087528945204258,-4.86246307028253,1.5,-1.0,0.9279012221207489,5.9117522774964,0.1945936291614465,-6.283185307179586,-3.142716884378058
668,7,68,0.9279012221207489,5.9117522774964,0.1945936291614465,-6.283185307179586,-1.5,-1.0,1.2234526864406423,5.91102928639787,-0.1195656361975328,-6.283185307179586,-4.620228988265467
669,7,69,1.2234526864406423,5.91102928639787,-0.1195656361975328,-6.283185307179586,-1.5,0.0,1.4870309325126094,5.271564921439341,-0.36158276045749377,-4.840342485199219,-5.232066658768683
670,7,70,1.4870309325126094,5.271564921439341,-0.36158276045749377,-4.840342485199219,0.0,-1.0,1.75947644636808,5.448910277109414,-0.628679013179372,-5.341925054437566,-4.9029186916580985
671,7,71,1.75947644636808,5.448910277109414,-0.628679013179372,-5.341925054437566,-1.5,0.0,1.997254003825077,4.755551149139937,-0.7963700996336383,-3.3538217290853236,-6.402333991697056
672,7,72,1.997254003825077,4.755551149139937,-0.7963700996336383,-3.3538217290853236,-1.5,1.0,2.1856559865374803,3.768039654248062,-0.8151647077439643,-0.37589216220652233,-6.316398237514345
673,7,73,2.1856559865374803,3.768039654248062,-0.8151647077439643,-0.37589216220652233,0.0,0.0,2.359899994365037,3.4848801565511303,-0.7892201534005856,0.5188910868675756,-6.158556479918136
674,7,74,2.359899994365037,3.4848801565511303,-0.7892201534005856,0.5188910868675756,1.5,0.0,2.5361956380103385,3.525912872906034,-0.748516745728156,0.8140681534485931,-6.812678317215467
